RatingIs,SpreadIs,LargeManufFirmGT,LargeManufFirmLT,FinancialServiceFirmsGT,FinancialServiceFirmsLT,SmallerAndRiskierFirmsGT,SmallerAndRiskierFirmsLT
D2/D,0.14,1,0.2,1,0.05,1,0.5
C2/C,0.105,0.2,0.65,0.05,0.1,0.5,0.8
Ca2/CC,0.08,0.65,0.8,0.1,0.2,0.8,1.25
Caa/CCC,0.065,0.8,1.25,0.2,0.3,1.25,1.5
B3/B-,0.055,1.25,1.5,0.3,0.4,1.5,2
B2/B,0.045,1.5,1.75,0.4,0.5,2,2.5
B1/B+,0.0375,1.75,2,0.5,0.6,2.5,3
Ba2/BB,0.03,2,2.25,0.6,0.75,3,3.5
Ba1/BB+,0.025,2.25,2.5,0.75,0.9,3.5,4
Baa2/BBB,0.016,2.5,3,0.9,1.2,4,4.5
A3/A-,0.0125,3,4.25,1.2,1.5,4.5,6
A2/A,0.011,4.25,5.5,1.5,2,6,7.5
A1/A+,0.01,5.5,6.5,2,2.5,7.5,9.5
Aa2/AA,0.008,6.5,8.5,2.5,3,9.5,12.5
Aaa/AAA,0.006,8.5,1,3,1,12.5,1
